"Gene_name";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"diffexpressed"
"75";"Fkbp7";103.498;1.212;0.218;5.563;0;0;"Upregulated"
"76";"Lrp4";390.088;1.975;0.138;14.354;0;0;"Upregulated"
"77";"Elf5";11.003;7.102;1.34;5.3;0;0;"Upregulated"
"78";"Lmo2";32.137;1.864;0.422;4.419;0;0;"Upregulated"
"79";"Muc15";100.423;1.069;0.229;4.662;0;0;"Upregulated"
"80";"Gchfr";344.393;-1.46;0.141;-10.377;0;0;"Downregulated"
"81";"Gm14207";71.041;-1.353;0.276;-4.9;0;0;"Downregulated"
"82";"Dll4";311.187;-1.32;0.144;-9.144;0;0;"Downregulated"
"83";"Tmem62";282.894;-1.137;0.144;-7.919;0;0;"Downregulated"
"84";"Fgf7";795.432;-1.105;0.112;-9.856;0;0;"Downregulated"
"85";"Hdc";78.035;-1.271;0.26;-4.885;0;0;"Downregulated"
"86";"Dusp2";149.119;1.572;0.236;6.655;0;0;"Upregulated"
"87";"Slc4a11";13475.319;1.011;0.048;21.227;0;0;"Upregulated"
"88";"Adam33";28.22;-3.083;0.526;-5.857;0;0;"Downregulated"
"89";"Fermt1";10306.81;2.091;0.061;34.534;0;0;"Upregulated"
"90";"Jag1";8454.161;3.154;0.064;49.621;0;0;"Upregulated"
"91";"Bpifb4";89.271;-2.504;0.265;-9.439;0;0;"Downregulated"
"92";"Fam83c";47.481;2.191;0.36;6.089;0;0;"Upregulated"
"93";"Fer1l4";44.455;-1.581;0.351;-4.506;0;0;"Downregulated"
"94";"Sla2";44.421;-1.966;0.365;-5.384;0;0;"Downregulated"
"95";"Lbp";169.708;-1.776;0.231;-7.703;0;0;"Downregulated"
"96";"Arhgap40";131.725;-1.319;0.201;-6.555;0;0;"Downregulated"
"97";"Gm14221";183.796;-1.533;0.181;-8.477;0;0;"Downregulated"
"98";"Sgk2";345.156;-3.175;0.168;-18.956;0;0;"Downregulated"
"99";"Slpi";2561.788;-1.49;0.087;-17.173;0;0;"Downregulated"
"100";"Wfdc8";16.45;4.2;0.777;5.406;0;0;"Upregulated"
"101";"Mmp9";45002.337;3.806;0.053;71.859;0;0;"Upregulated"
"102";"Slc12a5";272.869;3.376;0.186;18.107;0;0;"Upregulated"
"103";"Cd40";25.57;6.472;1.091;5.932;0;0;"Upregulated"
"104";"Eya2";2731.06;-2.244;0.067;-33.397;0;0;"Downregulated"
"105";"Prex1";136.797;-1.413;0.195;-7.243;0;0;"Downregulated"
"106";"Kcnb1";692.62;-1.172;0.106;-11.084;0;0;"Downregulated"
"107";"Snai1";1102.062;2.321;0.104;22.295;0;0;"Upregulated"
"108";"Ripor3";227.238;-1.295;0.157;-8.235;0;0;"Downregulated"
"109";"Cyp24a1";17.428;-3.393;0.684;-4.963;0;0;"Downregulated"
"110";"Pmepa1";18317.53;3.092;0.05;61.932;0;0;"Upregulated"
"111";"Rbbp8nl";334.044;-1.102;0.138;-7.992;0;0;"Downregulated"
"112";"Skil";10808.91;1.829;0.059;31.183;0;0;"Upregulated"
"113";"Cetn4";154.515;1.219;0.217;5.606;0;0;"Upregulated"
"114";"Spry1";2046.235;-1.023;0.074;-13.774;0;0;"Downregulated"
"115";"Postn";511.316;4.174;0.349;11.975;0;0;"Upregulated"
"116";"Dclk1";1341.199;1.288;0.091;14.226;0;0;"Upregulated"
"117";"Gm9831";77.193;1.303;0.247;5.274;0;0;"Upregulated"
"118";"P2ry12";190.844;1.431;0.181;7.899;0;0;"Upregulated"
"119";"Pdgfc";524.096;1.507;0.123;12.241;0;0;"Upregulated"
"120";"Il6ra";1576.525;-1.1;0.081;-13.569;0;0;"Downregulated"
"121";"Lce1f";37.682;2.841;0.419;6.788;0;0;"Upregulated"
"122";"Lce1g";88.266;1.244;0.278;4.475;0;0;"Upregulated"
"123";"Sema6c";135.66;1.056;0.196;5.375;0;0;"Upregulated"
"124";"Adamtsl4";288.398;-1.202;0.146;-8.247;0;0;"Downregulated"
"125";"Txnip";29907.625;-1.124;0.053;-21.109;0;0;"Downregulated"
"126";"Lix1l";239.916;1.135;0.143;7.931;0;0;"Upregulated"
"127";"Zfp697";750.178;1.461;0.09;16.264;0;0;"Upregulated"
"128";"Vtcn1";58.88;2.408;0.317;7.593;0;0;"Upregulated"
"129";"Gstm1";476.143;-1.456;0.13;-11.21;0;0;"Downregulated"
"130";"Palmd";283.536;1.744;0.16;10.912;0;0;"Upregulated"
"131";"1700061I17Rik";70.58;2.253;0.32;7.046;0;0;"Upregulated"
"132";"Fam241a";422.497;-1.013;0.162;-6.254;0;0;"Downregulated"
"133";"Sgms2";7061.494;-1.024;0.058;-17.797;0;0;"Downregulated"
"134";"Bdh2";66.636;1.22;0.274;4.449;0;0;"Upregulated"
"135";"Ccn1";5167.515;1.356;0.186;7.278;0;0;"Upregulated"
"136";"C9orf72";2208.902;1.21;0.067;17.933;0;0;"Upregulated"
"137";"Enho";26.405;2.959;0.544;5.44;0;0;"Upregulated"
"138";"ENSMUSG00000120990";43.063;1.906;0.373;5.112;0;0;"Upregulated"
"139";"Npr2";25.998;3.191;0.535;5.961;0;0;"Upregulated"
"140";"Msantd3";1087.219;1.063;0.103;10.333;0;0;"Upregulated"
"141";"Tmeff1";2399.046;2.05;0.078;26.122;0;0;"Upregulated"
"142";"Col27a1";29.548;3.937;0.558;7.05;0;0;"Upregulated"
"143";"Orm1";124.059;2.046;0.208;9.857;0;0;"Upregulated"
"144";"Tnc";3969.74;1.86;0.06;31.05;0;0;"Upregulated"
"145";"Trabd2b";378.977;1.137;0.126;9.015;0;0;"Upregulated"
"146";"Tspan1";4616.616;-1.45;0.07;-20.857;0;0;"Downregulated"
"147";"Cited4";80.074;-1.342;0.26;-5.161;0;0;"Downregulated"
"148";"Sh3d21";428.18;1.298;0.117;11.058;0;0;"Upregulated"
"149";"Gjb3";3300.226;1.043;0.069;15.086;0;0;"Upregulated"
"150";"Gjb4";2336.292;1.637;0.067;24.329;0;0;"Upregulated"
"151";"Gjb5";32.964;2.313;0.419;5.515;0;0;"Upregulated"
"152";"Marcksl1";8130.071;1.181;0.056;21.034;0;0;"Upregulated"
"153";"Tinagl1";14215.95;-1.151;0.05;-22.846;0;0;"Downregulated"
"154";"Ptpru";148.902;2.009;0.197;10.205;0;0;"Upregulated"
"155";"Sfn";9377.605;3.466;0.063;54.833;0;0;"Upregulated"
"156";"Grhl3";105.444;-1.038;0.237;-4.374;0;0;"Downregulated"
"157";"Htr1d";20.269;2.393;0.555;4.316;0;0;"Upregulated"
"158";"Camk2n1";1081.64;1.488;0.081;18.327;0;0;"Upregulated"
"159";"Padi1";2019.854;-1.047;0.074;-14.065;0;0;"Downregulated"
"160";"Pik3cd";54.579;1.756;0.32;5.479;0;0;"Upregulated"
"161";"Spsb1";1757.969;1.933;0.072;26.888;0;0;"Upregulated"
"162";"Slc2a5";163.128;1.329;0.177;7.507;0;0;"Upregulated"
"163";"Chd5";108.285;-1.186;0.234;-5.06;0;0;"Downregulated"
"164";"Plch2";158.819;-1.01;0.208;-4.844;0;0;"Downregulated"
"165";"Klhl17";163.649;1.009;0.204;4.936;0;0;"Upregulated"
"166";"Steap4";113.5;-1.427;0.223;-6.41;0;0;"Downregulated"
"167";"Speer3";141.149;-2.012;0.206;-9.788;0;0;"Downregulated"
"168";"Gm6650";99.621;-1.725;0.239;-7.207;0;0;"Downregulated"
"169";"Sema3e";9989.366;-1.511;0.058;-26.221;0;0;"Downregulated"
"170";"Gsap";765.296;1.357;0.093;14.592;0;0;"Upregulated"
"171";"Trim54";166.8;-1.051;0.209;-5.026;0;0;"Downregulated"
"172";"Sh3bp2";1070.211;1.069;0.079;13.578;0;0;"Upregulated"
"173";"Rgs12";1348.437;1.827;0.089;20.587;0;0;"Upregulated"
"174";"Sorcs2";593.521;1.172;0.103;11.431;0;0;"Upregulated"
"175";"Hs3st1";904.64;-1.546;0.108;-14.372;0;0;"Downregulated"
"176";"Gm3716";343.131;-1.143;0.129;-8.837;0;0;"Downregulated"
"177";"Fam114a1";1090.487;1.423;0.087;16.376;0;0;"Upregulated"
"178";"Igfbp7";11138.685;1.036;0.07;14.722;0;0;"Upregulated"
"179";"Tmprss11f";123.641;1.023;0.203;5.045;0;0;"Upregulated"
"180";"Tmprss11e";7921.084;-1.043;0.061;-17.14;0;0;"Downregulated"
"181";"Cxcl5";10029.669;-1.606;0.068;-23.643;0;0;"Downregulated"
"182";"Cxcl3";766.481;-1.08;0.1;-10.773;0;0;"Downregulated"
"183";"Cxcl1";8394.925;-2.062;0.077;-26.623;0;0;"Downregulated"
"184";"Odaph";1536.728;1.144;0.091;12.507;0;0;"Upregulated"
"185";"Sparcl1";17.49;4.311;0.762;5.661;0;0;"Upregulated"
"186";"Tmem119";134.75;4.587;0.293;15.68;0;0;"Upregulated"
"187";"Rph3a";34.805;4.059;0.513;7.914;0;0;"Upregulated"
"188";"Abcb9";46.282;-1.916;0.363;-5.273;0;0;"Downregulated"
"189";"Lat2";398.409;-1.67;0.134;-12.453;0;0;"Downregulated"
"190";"Cldn4";27683.296;1.064;0.073;14.504;0;0;"Upregulated"
"191";"Upk3bl";418.464;-1.01;0.136;-7.423;0;0;"Downregulated"
"192";"Rasa4";1889.638;1.11;0.072;15.446;0;0;"Upregulated"
"193";"Sh2b2";657.699;1.103;0.107;10.353;0;0;"Upregulated"
"194";"Serpine1";14077.067;5.207;0.058;90.393;0;0;"Upregulated"
"195";"Pdgfa";2777.478;1.516;0.066;22.846;0;0;"Upregulated"
"196";"6330403L08Rik";202.476;1.032;0.162;6.353;0;0;"Upregulated"
"197";"Prkar1b";12.737;3.814;0.827;4.612;0;0;"Upregulated"
